qualifications,target
Job Requisition Number:,no
Category:,no
Locations:,no
"
Sponsorship is not available for this position.",no
"
Your application to this posting may be considered for the positions listed below.
",no
Full Stack Developer Positions:,no
"
Full Stack Developer I",no
"
Full Stack Developer II",no
"
Job Description Summary:",no
Job Specific Information:,no
Skills/Knowledge Considered a Plus:,yes
"
Minimum Qualifications:",no
"
Domicile:",no
"
Relocation:",no
"
Application / Criteria:",no
WHO WE ARE,no
"TRANSPORTATION PRACTICE
",no
DESCRIPTION,yes
PROFESSIONAL REQUIREMENTS,no
"
Qualified candidates are encouraged to email their resume to ",no
jbelowich@mbakerintl.com,no
"
MICHAEL BAKER INTERNATIONAL EEO STATEMENT",no
"Eaton’s CPD Power Components Division is currently seeking a Test Lab Engineer to join our team. This position is based at our Beaver, PA location.",no
"
Position Overview:
",no
"
In this function you will:
",yes
"
Qualifications",yes
"
Required (Basic) Qualifications:
",yes
"Preferred qualifications:
",no
"Position Criteria:
",no
"
Job: Engineering",no
"
Region: North America – US/Puerto Rico",no
Organization: EPG CPD PCD Power Components Division,no
"
Job Level: Individual Contributor",no
Schedule: Full-time,no
Is remote work (i.e. working from home or another Eaton facility) allowed for this position?: No,no
Does this position offer relocation?: No,no
"Travel: Yes, 10 % of the Time",no
WHO WE ARE,no
"CONSTRUCTION PRACTICE
",no
DESCRIPTION,yes
PROFESSIONAL REQUIREMENTS,no
MICHAEL BAKER INTERNATIONAL EEO STATEMENT,no
Company:,no
Job Title:,no
Job Requisition Number:,no
Category:,no
Locations:,no
Deep understanding and strong experience in one or more of the following:,no
"
Conceptual understanding and some experience in more than one of the following:",no
"
Domicile:",no
"
Relocation:",yes
"
Minimum Qualifications:",no
"
Application Deadline / Criteria:",no
"November 20, 2020.",no
"Job Details
 ",no
Evaluate RE requirements and build out RE team to scale:,no
Oversee day to day Reliability Engineering activities across all Brands and Channels:,no
Staff Management and Financial Planning:,yes
Qualifications,yes
"
Minimum Qualifications:",yes
Preferred Qualifications:,no
"Job Details
",no
Job Overview,no
About LearnDataSci ,no
Responsibilities: ,yes
Requirements: ,no
Title: ,no
Position Summary: ,no
Term: ,yes
Minimum Qualifications: ,no
"Here at VCE we know that biological communities and organizations are strongest and most resilient when they are most diverse. We invite you to join us, to engage us, to challenge us, and grow with us. If you thrive in a supportive environment where you are encouraged to follow your ""big ideas"" - and help others realize theirs - VCE is the place for you. ",no
Application: ,no
"
Essential Functions",yes
"
Minimum Education",yes
"
Minimum Experience",yes
"
Required Skills, Abilities and / or Licensure",no
"
Other Job Description Information",no
"
Address:",no
City:,no
State:,no
Zip Code:,no
Domicile Location:,no
"
EEO Statement",no
Note: Lucd will not sponsor job applicants for work visas.,no
Open Doors USA is hiring!,no
Position: Data Science Manager,no
About us: ,yes
Who we’re looking for: ,yes
Must haves: ,no
What we offer: ,no
We’re looking for excellence…come join us!,no
"100% REMOTE Mid-Level Big Data Analyst/Developer (Hadoop NoSQL SQL) | Aerospace | Dallas, TX area (1-year+)",no
MUST BE A U.S. CITIZEN to qualify for a future security clearance,no
REMOTE until Covid clears up – must be able to transition onsite down the road.,no
SQL ,no
Big Data,no
visualizations,no
large,no
complex datasets,no
"SQL, Python",no
"Java,",no
Tableau ,no
Big Data (Hadoop,no
NoSQL,no
SQL,no
Python,no
", Java, C/C++",no
"complex, high-volume, high-dimensionality data",no
enterprise data architectures,no
MUST BE able to do a 1-week onsite training for project ramp.,no
Predictive Analytics,no
Descriptive Statistics,no
exploratory data analysis,no
"R, SPSS",no
MATLAB,no
"F-35 Aerospace/Avionics Programs,",no
"Senior Statistician - Innovative Biopharma – Rayleigh, US",no
About the Role,yes
Person specification: ,no
Culture,no
What do you get in return?,no
"
Essential Functions",yes
"
Minimum Education",yes
"
Minimum Experience",yes
"
Required Skills, Abilities and / or Licensure",no
"
Other Job Description Information",no
"
% of Travel for the Position:",no
Address:,no
City:,no
State:,no
Zip Code:,no
Domicile Location:,no
"
EEO Statement",no
"Eaton Corporation is currently seeking a Data Science Specialist to join our team. This position is based at our Moon Township, PA facility. Relocation assistance will be provided if needed.",no
In this role you will:,yes
Qualifications,yes
"
Basic Qualifications:",yes
Preferred Qualifications,no
Position Criteria,no
"
Job: Engineering",no
"
Region: North America – US/Puerto Rico",no
Organization: CTO Corporate Technology Office,no
"
Job Level: Individual Contributor",no
Schedule: Full-time,no
Is remote work (i.e. working from home or another Eaton facility) allowed for this position?: No,no
Does this position offer relocation?: Relocation from within hiring country only,no
"Travel: Yes, 10 % of the Time",no
"
Why AmeriSave?",no
"
AmeriSave is the company you’ve been waiting to work for!",yes
Requirements,yes
"
Core Accountabilities and Skillsets",yes
"
Desirable Skillsets:",no
Direct w-2 employment only – No 3rd Parties – Position not eligible for Visa Sponsorship or Transfer,no
Lead Data Scientist ,yes
What we’re looking for: ,no
What we do: ,no
What’s in it for you: ,no
"
About the Role:",no
"
Key Responsibilities:",yes
"
Requirements & Experience:",no
Immediate Hire,no
Job Description: ,no
Role and Responsibilities: ,yes
Required Skills: ,yes
Desired Skills: ,no
"
The Team",no
Location,no
Job Type,no
Veterinary Technician,no
"
Responsibilities:",yes
"
Requirements:",yes
Commitment beyond qualifications,no
"
Your",no
wellbeing,no
matters.,no
Potential as Big as Your Passion,no
Support that helps you thrive,no
"
Commitment",no
to,no
community,no
wellness,no
"
So, what are you waiting for?",no
"
The Team",no
Job Duties: ,yes
Requirements: ,yes
Preferred: ,yes
Skills,yes
"
Qualifications",no
Locations: ,no
Type: ,no
Experience: ,no
Functions: ,no
Industries: ,no
Job Description: ,no
Ab Initio Data Engineer,no
"Data Integration, Governance & Quality",no
Technical Stack: ,no
Ab Initio 3.5.x or 4.0.x software suite,no
Ab Initio 3.5.x or 4.0.x frameworks,no
Big Data –,no
Databases -,no
Others,no
Job Duties: ,no
Ab Initio graphs ,no
and Conduct >it Plans,no
Web-Service and RESTful graphs,no
Metadata Hub metamodel,no
Metadata Hub OOB import feeds,no
heterogeneous data sources,no
"Acquire >It, Spec-To-Graph, Data Quality Assessment",no
CI-CD,no
JUnit,no
Jenkins,no
JIRA,no
Query >It data sources,no
"XML, JSON & YAML",no
data acquisition and transformation/curation requirements,no
Control Center Jobs,no
BRE rulesets,no
performance bottlenecks in,no
performance optimization,no
interoperability standards,no
governance policies,no
regression,no
agile development process,yes
Qualifications: ,no
5 years,no
You’re the one we’re looking for if you: ,
About ITI ,no
Locations: ,no
Type: ,yes
Experience: ,no
Functions: ,no
Industries: ,no
Job Description: ,no
Senior Ab Initio Solutions Engineer,no
"Data Integration, Governance & Quality domains",no
creating highly optimized batch and real-time applications,no
acquiring & curating data and metadata across internal and external sources,no
Technical Stack: ,no
Ab Initio 3.5.x or 4.0.x software suite,no
Ab Initio 3.5.x or 4.0.x frameworks,no
Big Data,no
CI/CD,no
Cloud,no
Databases,no
Others,no
Job Duties: ,no
highly-optimized Ab Initio graphs,no
Conduct >it Plans,no
generic graphs,no
PDL metaprogramming,no
generic Express >It templates ,no
BRE rulesets,no
Web-Service and RESTful models,no
Metadata Hub metamodels,no
View customizations on Metadata Hub,no
import extractor graphs for Metadata Hub,no
heterogeneous data sources,no
"Acquire >It, Spec-To-Graph, Data Quality Assessment",no
CI-CD,no
JUnit,no
Jenkins,no
JIRA,no
Query >It subgraphs ,no
"XML, JSON & YAML documents",no
data lake & warehouse data models,no
performance bottlenecks,no
performance optimization,no
interoperability standards,no
governance policies,no
technical design documents,no
projects,no
liaison,no
performance for data access requirements,no
agile development process,no
team members,yes
Qualifications: ,no
7 years,no
5 years,yes
You’re the one we’re looking for if you: ,no
About ITI ,no
"100% REMOTE Mid-Level Big Data Analyst/Developer (Hadoop NoSQL SQL) | Aerospace | Dallas, TX area (1-year+)",no
MUST BE A U.S. CITIZEN to qualify for a future security clearance,no
REMOTE until Covid clears up – must be able to transition onsite down the road.,no
SQL ,no
Big Data,no
visualizations,no
large,no
complex datasets,no
"SQL, Python",no
"Java,",no
Tableau ,no
Big Data (Hadoop,no
NoSQL,no
SQL,no
Python,no
", Java, C/C++",no
"complex, high-volume, high-dimensionality data",no
enterprise data architectures,no
MUST BE able to do a 1-week onsite training for project ramp.,no
Predictive Analytics,no
Descriptive Statistics,no
exploratory data analysis,no
"R, SPSS",no
MATLAB,no
"F-35 Aerospace/Avionics Programs,",no
Overview: ,yes
Qualifications: ,no
SUMMARY: ,no
JOB DESCRIPTION: ,yes
QUALIFICATIONS: ,no
Experience in ESI processing and production tools is a,yes
MUST ,no
BENEFITS: ,no
Who We Are:,yes
"
Who We Need:",no
"
What You Will Do:",no
What You Are Like:,no
What You Need:,yes
Nice to Haves:,no
What We Offer:,no
Leadership Experience ,no
Technical Skills ,yes
Non-Technical Requirements,
